yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
196108,68.07,1.9533,3.0433,0.513792816,0.0239,0.0445,0.0511,0.041,0.02542591,0.0014,-0.003333333,-0.0038,-0.0018,0.000406215,-0.001998608,0.02473,0.019511
196109,66.73,1.96,3.05,0.527516721,0.0228,0.0445,0.0512,0.0403,0.024963387,0.0017,0.003344482,0.0129,0.0144,0.0008225,-0.002292368,-0.018674,-0.019877
196110,68.62,1.98,3.0967,0.525485851,0.023,0.0442,0.0513,0.04,0.025835909,0.0019,0,0.0071,0.0127,0.000267509,-0.00203613,0.028175,0.026791
196111,71.32,2,3.1433,0.512610865,0.0248,0.0439,0.0511,0.0404,0.025570613,0.0015,0,-0.002,0.0028,0.00036039,-0.002073447,0.045226,0.039324
196112,71.55,2.02,3.19,0.505922258,0.026,0.0442,0.051,0.0415,0.022324288,0.0019,0,-0.0125,-0.0026,0.000336902,-0.002210744,0.004696,0.003465
196201,68.84,2.0267,3.25,0.528428571,0.0272,0.0442,0.0508,0.0419,0.024721355,0.0024,0,-0.0014,0.008,0.000811531,-0.002298745,-0.037356,-0.038692
196202,69.96,2.0333,3.31,0.522420733,0.0273,0.0442,0.0507,0.0414,0.028783381,0.002,0.003333333,0.0103,0.0052,0.000265097,-0.002209728,0.020592,0.016147
196203,69.55,2.04,3.37,0.545724592,0.0272,0.0439,0.0504,0.0398,0.024075304,0.002,0,0.0253,0.0151,0.000279492,-0.002884136,-0.003842,-0.005137
196204,65.24,2.0467,3.4033,0.579862625,0.0273,0.0433,0.0502,0.0394,0.025152092,0.0022,0.003322259,0.0082,0.0142,0.001019691,-0.002394846,-0.061743,-0.062443
196205,59.63,2.0533,3.4367,0.628994392,0.0269,0.0428,0.05,0.0393,0.027722355,0.0024,0,0.0046,0,0.010914839,-0.002905911,-0.079847,-0.085499
196206,54.75,2.06,3.47,0.687357469,0.0273,0.0428,0.0502,0.0401,0.026455442,0.002,0,-0.0076,-0.0026,0.00616113,-0.002795277,-0.080669,-0.082222
196207,58.23,2.0667,3.49,0.64522603,0.0292,0.0434,0.0505,0.0412,0.030485904,0.0027,0.003311258,-0.0109,-0.0015,0.001843477,-0.002562627,0.065203,0.063969
196208,59.12,2.0733,3.51,0.633310352,0.0282,0.0435,0.0506,0.0401,0.029328751,0.0023,0,0.0187,0.0143,0.000801952,-0.002749597,0.021669,0.015803
196209,56.27,2.08,3.53,0.666344261,0.0278,0.0432,0.0503,0.0398,0.030601614,0.0021,0.00330033,0.0061,0.0089,0.001176998,-0.002921802,-0.048816,-0.050259
196210,56.52,2.0967,3.5767,0.654153314,0.0274,0.0428,0.0499,0.0395,0.028094504,0.0025,0,0.0084,0.0068,0.003452108,-0.002283763,0.008313,0.006405
196211,62.26,2.1133,3.6233,0.594178346,0.0283,0.0425,0.0496,0.0396,0.024810507,0.002,0,0.0021,0.0062,0.001274783,-0.002819534,0.108268,0.100528
196212,63.1,2.13,3.67,0.591627051,0.0287,0.0424,0.0492,0.0395,0.01996807,0.0023,0,0.0035,0.0023,0.000543882,-0.002796575,0.015534,0.01404
196301,66.2,2.1367,3.6833,0.564984989,0.0291,0.0421,0.0491,0.0398,0.017136274,0.0025,0,-0.0001,0.0059,0.00069977,-0.00305027,0.050367,0.048957
196302,64.29,2.1433,3.6967,0.581953118,0.0292,0.0419,0.0489,0.04,0.01323679,0.0023,0,0.0008,0.0023,0.000392133,-0.003089722,-0.024189,-0.029164
196303,66.57,2.15,3.71,0.587528571,0.0289,0.0419,0.0488,0.0401,0.014380171,0.0023,0.003289474,0.0009,0.0026,0.000359936,-0.00299588,0.036581,0.035156
196304,69.8,2.1667,3.7533,0.558729274,0.029,0.0421,0.0487,0.0405,0.015199427,0.0025,0,-0.0012,-0.0051,0.00032216,-0.002666221,0.04907,0.048177
